title,rating,content
5.0 out of 5 stars,5.0,"I love everything like color, touch, back side quality, camera, ultra fast process, etc., and what not?As always Apple rocks"
3.0 out of 5 stars,3.0,I hate such a expensive phone heats up while charging with apple adaptor and apple cable.Totally disappointed.Good luck
1.0 out of 5 stars,1.0,Not working to friendly apps Truecaller/call recording/and sudirect app really waste of money
1.0 out of 5 stars,1.0,I ordered my iPhone 15 from Amazon in the month of November 2023. It worked just fine for few months. After which I was suddenly facing problems with my apps. Specifically Swiggy was not being downloaded and it was saying that my phone is a jailbroken device. I am extremely disappointed with the service.
1.0 out of 5 stars,1.0,Battery Draining with in 2 hrs.For charging it consumes min of 1.5 hrs to reach 100%Also Amazon is worst platform to buy this phone.Very worst response
5.0 out of 5 stars,5.0,iPhone 15 is faster and better looking than iPhone 12 .
4.0 out of 5 stars,4.0,Delivered on same day. Indian version. SBI promo did not work as mentioned. So opted for icici emi on amazon pay card. Nothing to say about iphone. There are plenty of reviews on that.
5.0 out of 5 stars,5.0,Really loved the iPhone 15 :)
1.0 out of 5 stars,1.0,"worst product that i have ever seen from Apple company, u dont need any kind of stove to coock anything if you have iphone 15 in your hand, trash"
5.0 out of 5 stars,5.0,"I love everything like color, touch, back side quality, camera, ultra fast process, etc., and what not?As always Apple rocks"
3.0 out of 5 stars,3.0,I hate such a expensive phone heats up while charging with apple adaptor and apple cable.Totally disappointed.Good luck
1.0 out of 5 stars,1.0,Not working to friendly apps Truecaller/call recording/and sudirect app really waste of money
1.0 out of 5 stars,1.0,I ordered my iPhone 15 from Amazon in the month of November 2023. It worked just fine for few months. After which I was suddenly facing problems with my apps. Specifically Swiggy was not being downloaded and it was saying that my phone is a jailbroken device. I am extremely disappointed with the service.
1.0 out of 5 stars,1.0,Battery Draining with in 2 hrs.For charging it consumes min of 1.5 hrs to reach 100%Also Amazon is worst platform to buy this phone.Very worst response
5.0 out of 5 stars,5.0,iPhone 15 is faster and better looking than iPhone 12 .
4.0 out of 5 stars,4.0,Delivered on same day. Indian version. SBI promo did not work as mentioned. So opted for icici emi on amazon pay card. Nothing to say about iphone. There are plenty of reviews on that.
5.0 out of 5 stars,5.0,Really loved the iPhone 15 :)
1.0 out of 5 stars,1.0,"worst product that i have ever seen from Apple company, u dont need any kind of stove to coock anything if you have iphone 15 in your hand, trash"
5.0 out of 5 stars,5.0,"I love everything like color, touch, back side quality, camera, ultra fast process, etc., and what not?As always Apple rocks"
3.0 out of 5 stars,3.0,I hate such a expensive phone heats up while charging with apple adaptor and apple cable.Totally disappointed.Good luck
1.0 out of 5 stars,1.0,Not working to friendly apps Truecaller/call recording/and sudirect app really waste of money
1.0 out of 5 stars,1.0,I ordered my iPhone 15 from Amazon in the month of November 2023. It worked just fine for few months. After which I was suddenly facing problems with my apps. Specifically Swiggy was not being downloaded and it was saying that my phone is a jailbroken device. I am extremely disappointed with the service.
1.0 out of 5 stars,1.0,Battery Draining with in 2 hrs.For charging it consumes min of 1.5 hrs to reach 100%Also Amazon is worst platform to buy this phone.Very worst response
5.0 out of 5 stars,5.0,iPhone 15 is faster and better looking than iPhone 12 .
4.0 out of 5 stars,4.0,Delivered on same day. Indian version. SBI promo did not work as mentioned. So opted for icici emi on amazon pay card. Nothing to say about iphone. There are plenty of reviews on that.
5.0 out of 5 stars,5.0,Really loved the iPhone 15 :)
1.0 out of 5 stars,1.0,"worst product that i have ever seen from Apple company, u dont need any kind of stove to coock anything if you have iphone 15 in your hand, trash"
5.0 out of 5 stars,5.0,"I love everything like color, touch, back side quality, camera, ultra fast process, etc., and what not?As always Apple rocks"
3.0 out of 5 stars,3.0,I hate such a expensive phone heats up while charging with apple adaptor and apple cable.Totally disappointed.Good luck
1.0 out of 5 stars,1.0,Not working to friendly apps Truecaller/call recording/and sudirect app really waste of money
1.0 out of 5 stars,1.0,I ordered my iPhone 15 from Amazon in the month of November 2023. It worked just fine for few months. After which I was suddenly facing problems with my apps. Specifically Swiggy was not being downloaded and it was saying that my phone is a jailbroken device. I am extremely disappointed with the service.
1.0 out of 5 stars,1.0,Battery Draining with in 2 hrs.For charging it consumes min of 1.5 hrs to reach 100%Also Amazon is worst platform to buy this phone.Very worst response
5.0 out of 5 stars,5.0,iPhone 15 is faster and better looking than iPhone 12 .
4.0 out of 5 stars,4.0,Delivered on same day. Indian version. SBI promo did not work as mentioned. So opted for icici emi on amazon pay card. Nothing to say about iphone. There are plenty of reviews on that.
5.0 out of 5 stars,5.0,Really loved the iPhone 15 :)
