title,rating,content
2.0 out of 5 stars,2.0,It’s just like a mid range android phone which looks good (I guess a mid range one plus would be actually better). Nothing special and absolutely no value for money.
2.0 out of 5 stars,2.0,Not charging within 15 days of buying.
2.0 out of 5 stars,2.0,"I had iphone 11, pretty decent phone and I was proud with that phone. The finishing of iPhone 11 was the best, super camera and nice display.This iPhone 15 is a huge letdown... Small phone, no white color available and camera, photo quality is below than average. Many issues are there... Phone heats up, many times phone volume gets down without any reason and you will miss important calls. Most funny issue is my phone frequently forgetting my face and you cant accept call. It freezes... You will see phone is ringing infront of you but, you can't accept that call...!!! I bought iPhone 15 @79999/- in the month of October and in January it is on sale, gone down to 65000/-... so huge fall in price in such short time...!!! Apple... clock is ticking... another Nokia...😊"
2.0 out of 5 stars,2.0,Recieving speaker sound is cracking
2.0 out of 5 stars,2.0,Heating issue.. 15 min video recording.. full heating mobile..  some laaging issues..  25K android mobile is much better than this phone..  only buildup purpose u can use this..
2.0 out of 5 stars,2.0,Superb mobile. All my city girls have started to like me. I have become a hero amongst my friends. I drink lots of water. I don't feel a thing even after loosing one kidneys. I have been better as before. I want everyone to buy this beast.
2.0 out of 5 stars,2.0,"It is made of titanium. Seems Good Right?,No.The Build quite is worst.I prefer you iPhone 14Or Samsung. You can also see the build quality of IPhone 15 on YouTube I am right ✅️."
2.0 out of 5 stars,2.0,I want a free sample all' are reviewed bad this iPhone 15 I want to check it is a true I am influencer and I need to know this product is bad or not my friends are suggesting me not to buy this product because of overheating  I want free sample of that can you please send me this product so I review in Instagram Facebook and YouTube please send me in my address thank you apple team but please apply don't ignore it please reply and help
2.0 out of 5 stars,2.0,It’s just like a mid range android phone which looks good (I guess a mid range one plus would be actually better). Nothing special and absolutely no value for money.
2.0 out of 5 stars,2.0,Not charging within 15 days of buying.
2.0 out of 5 stars,2.0,"I had iphone 11, pretty decent phone and I was proud with that phone. The finishing of iPhone 11 was the best, super camera and nice display.This iPhone 15 is a huge letdown... Small phone, no white color available and camera, photo quality is below than average. Many issues are there... Phone heats up, many times phone volume gets down without any reason and you will miss important calls. Most funny issue is my phone frequently forgetting my face and you cant accept call. It freezes... You will see phone is ringing infront of you but, you can't accept that call...!!! I bought iPhone 15 @79999/- in the month of October and in January it is on sale, gone down to 65000/-... so huge fall in price in such short time...!!! Apple... clock is ticking... another Nokia...😊"
2.0 out of 5 stars,2.0,Recieving speaker sound is cracking
2.0 out of 5 stars,2.0,Heating issue.. 15 min video recording.. full heating mobile..  some laaging issues..  25K android mobile is much better than this phone..  only buildup purpose u can use this..
2.0 out of 5 stars,2.0,Superb mobile. All my city girls have started to like me. I have become a hero amongst my friends. I drink lots of water. I don't feel a thing even after loosing one kidneys. I have been better as before. I want everyone to buy this beast.
2.0 out of 5 stars,2.0,"It is made of titanium. Seems Good Right?,No.The Build quite is worst.I prefer you iPhone 14Or Samsung. You can also see the build quality of IPhone 15 on YouTube I am right ✅️."
2.0 out of 5 stars,2.0,I want a free sample all' are reviewed bad this iPhone 15 I want to check it is a true I am influencer and I need to know this product is bad or not my friends are suggesting me not to buy this product because of overheating  I want free sample of that can you please send me this product so I review in Instagram Facebook and YouTube please send me in my address thank you apple team but please apply don't ignore it please reply and help
2.0 out of 5 stars,2.0,It’s just like a mid range android phone which looks good (I guess a mid range one plus would be actually better). Nothing special and absolutely no value for money.
2.0 out of 5 stars,2.0,Not charging within 15 days of buying.
